rates,category_names
15.555555555555555,Architecture
13.333333333333334,Art
6.666666666666667,Astronomy
6.666666666666667,Biography&Autobiography
6.666666666666667,Business & Ecenomics
4.444444444444445,Children
4.444444444444445,Computers
4.444444444444445,ConductOfLife
4.444444444444445,Cooking
4.444444444444445,Criminals
4.444444444444445,Death
4.444444444444445,Design
4.444444444444445,Detective and mystery stories
2.2222222222222223,Drama
2.2222222222222223,Education
2.2222222222222223,Fairy Tails
2.2222222222222223,Family & Relationships
2.2222222222222223,Fiction
2.2222222222222223,Health&Fitness
2.2222222222222223,History
0.0,Humor
0.0,JuvenileFiction
0.0,Law
0.0,Man-woman relationships
0.0,Mathematics
0.0,Medical
0.0,Music
0.0,Nature
0.0,Pets
0.0,Philosophy
0.0,Photography
0.0,Poetry
0.0,PoliticalScience
0.0,Psychology
0.0,Religion
0.0,Romance
0.0,Science Fiction
0.0,Science
0.0,Self-Help
0.0,SocialScience
0.0,Techonology & Engineering
0.0,Travel
0.0,WorldWar1
